global_idx,Breast,Lung,Bowel,Prostate,Cervix,Skin,Myeloid,Lymphoid,Brain,Liver,Ovary,Stomach
606,0,0,0,0,0,0,0,1,0,1,0,0
737,0,1,1,1,0,0,1,1,1,0,0,0
1259,1,1,1,1,0,0,0,1,0,0,0,1
184,0,0,0,0,0,1,0,1,0,0,0,0
1479,0,0,0,0,0,1,0,0,0,0,0,1
491,1,1,1,1,0,1,0,0,1,0,1,1
1930,1,1,1,1,0,1,0,0,0,0,1,0
738,1,1,1,0,0,0,0,0,1,0,0,0
1335,1,1,0,0,1,1,1,1,0,0,1,1
50,0,0,1,0,0,0,1,0,0,0,0,0
655,1,1,1,1,1,1,1,1,1,1,0,0
420,1,0,0,0,0,0,1,0,0,0,0,0
1646,0,0,1,1,1,0,0,0,0,1,0,0
1091,1,1,0,0,0,0,1,1,1,1,0,0
1072,0,1,0,0,0,1,0,0,0,0,0,0
1549,0,0,1,0,0,1,0,0,0,0,0,0
1112,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,1,0,1,0,0
846,1,1,0,1,1,0,1,1,1,1,1,1
1767,1,1,1,1,1,0,1,1,0,1,0,0
1392,0,0,1,0,0,0,0,0,0,0,1,0
1801,0,0,1,0,0,0,1,1,0,0,1,0
1366,0,1,0,0,0,0,1,0,0,0,0,0
1940,0,0,0,1,0,1,0,0,0,0,0,0
713,1,1,1,0,1,0,0,1,0,1,1,1
1592,0,1,0,0,1,1,0,0,1,0,0,0
1750,1,0,0,0,1,0,1,0,1,1,1,0
1457,0,1,0,1,0,0,0,0,0,0,0,0
1120,1,1,0,1,0,0,0,0,0,0,0,1
418,0,0,0,0,0,0,1,0,1,0,0,0
1599,0,1,1,1,0,0,0,0,1,0,0,0
1673,0,1,1,0,0,0,1,0,0,1,0,0
866,1,1,1,1,1,1,1,1,1,1,1,1
378,0,1,0,0,0,0,1,1,0,1,0,0
1326,1,0,0,0,0,0,0,0,1,0,0,0
86,1,0,0,0,1,1,0,1,1,1,1,1
1271,0,0,0,0,0,1,0,0,0,0,0,1
198,1,1,1,0,0,1,0,1,1,1,0,1
1686,1,0,0,1,0,0,1,1,0,1,1,0
967,0,1,0,0,0,0,0,0,1,0,0,0
10,1,1,1,1,1,1,1,0,0,0,0,1
1845,1,1,1,0,0,0,1,1,1,0,0,0
117,1,0,1,0,0,0,0,0,0,0,0,0
1027,1,1,1,0,0,0,0,0,1,0,0,0
975,0,1,0,1,0,0,0,0,0,0,0,0
1246,1,1,1,0,0,1,0,1,1,1,1,0
1042,1,1,1,1,1,1,1,1,1,1,1,1
586,0,1,0,0,0,1,0,0,0,0,0,0
1679,1,0,1,0,0,0,0,0,0,0,0,0
1433,1,0,0,1,1,1,1,0,1,0,0,0
1857,1,0,0,0,0,1,0,0,0,0,0,0
257,1,0,0,0,0,0,0,0,0,1,0,0
47,0,1,0,0,0,0,0,0,1,0,0,0
966,0,0,0,0,0,0,0,0,1,0,0,1
727,0,0,0,0,1,0,1,0,0,0,0,0
1559,1,0,0,0,1,1,0,0,0,1,0,0
790,0,0,0,1,0,0,0,0,0,0,1,0
1938,0,0,0,1,0,0,0,0,1,0,0,0
1886,1,1,0,1,0,1,0,0,0,0,0,0
574,1,0,0,0,0,0,1,0,0,0,0,0
1765,0,1,0,1,0,0,0,0,0,0,0,0
636,1,1,0,0,0,0,0,0,0,0,0,0
1430,0,0,1,0,0,0,0,0,0,0,1,0
277,1,1,1,1,1,1,0,1,0,1,1,1
1574,1,1,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,1,0,0,0,1,0,0,0
1537,0,0,0,0,0,0,1,1,0,0,0,0
752,0,1,1,0,1,1,1,1,1,1,0,0
465,0,0,0,0,0,0,1,1,0,0,0,0
1870,0,0,0,0,0,0,0,0,0,1,1,0
1824,1,0,1,1,0,0,0,1,1,0,1,0
1398,1,1,1,0,0,0,1,0,0,0,0,0
175,1,1,1,1,0,0,1,0,0,0,1,0
548,1,0,1,1,1,0,0,1,1,1,1,0
1676,1,0,0,1,0,1,1,0,0,0,0,0
303,0,1,0,0,0,0,0,0,0,1,0,0
1880,1,0,0,1,0,1,0,0,0,0,1,0
311,1,1,1,1,1,1,1,0,1,1,1,0
980,1,1,1,1,1,0,0,1,1,1,0,0
1622,0,1,0,0,0,0,0,1,0,0,0,0
1237,0,0,0,0,1,1,0,0,0,0,0,0
1688,0,0,0,0,0,0,0,1,0,0,0,1
1385,0,0,1,0,0,0,1,0,0,0,0,0
1410,0,1,0,0,1,0,0,0,0,0,0,0
926,1,1,1,1,1,1,1,1,1,1,1,1
