global_idx,Breast,Lung,Bowel,Prostate,Cervix,Skin,Myeloid,Lymphoid,Brain,Liver,Ovary,Stomach
13,1,0,0,0,0,0,1,1,0,1,0,0
43,0,0,0,1,0,0,1,0,0,1,0,1
58,1,0,0,1,0,1,0,1,1,1,1,1
66,0,1,0,0,0,0,0,0,1,0,0,0
69,1,1,1,1,1,1,1,0,1,1,0,1
79,1,1,1,0,1,1,1,1,0,0,1,0
111,0,0,0,0,1,0,0,1,0,0,0,0
114,0,0,0,1,1,0,0,0,0,0,0,0
122,1,1,0,0,1,1,0,0,0,0,0,0
139,0,0,0,0,1,0,0,1,0,0,0,0
149,1,0,0,0,1,0,0,1,0,0,0,1
151,0,1,0,0,1,1,0,1,0,0,0,0
156,0,1,1,0,1,0,0,0,0,1,0,0
165,0,0,0,0,0,1,0,0,0,0,1,0
166,0,0,0,0,0,1,1,0,0,1,1,0
171,1,0,0,0,0,0,0,0,1,1,1,0
173,0,0,1,1,0,0,0,0,0,0,0,0
179,1,0,1,1,0,0,0,1,0,1,0,1
204,1,0,1,1,0,0,0,0,1,0,1,1
215,1,0,0,1,0,0,0,0,0,0,0,0
227,0,1,1,0,0,0,1,0,1,0,0,0
238,0,1,0,0,0,0,0,0,0,0,1,0
241,0,1,0,0,1,0,0,0,0,1,0,1
259,1,1,0,0,0,0,0,0,0,0,0,0
262,1,0,0,0,0,0,0,0,1,0,0,0
280,1,1,1,1,1,1,1,1,1,1,1,1
295,1,1,1,1,1,1,0,0,1,1,1,1
297,1,1,1,1,1,1,1,1,0,0,1,1
312,1,1,1,1,1,0,0,1,1,1,1,1
321,1,1,1,1,1,0,1,1,1,1,0,1
323,1,1,1,1,1,1,1,0,1,1,0,1
325,1,1,1,1,1,1,1,0,1,1,1,0
346,1,1,1,1,1,0,1,1,0,1,1,1
352,1,1,1,1,1,1,1,1,0,1,1,0
355,1,1,1,1,1,1,1,1,1,0,0,1
371,1,1,1,1,1,0,0,1,1,1,1,1
406,1,0,0,1,1,1,1,0,0,0,0,1
407,1,1,0,0,1,0,1,0,1,0,1,0
416,0,0,1,1,1,0,1,1,0,1,0,0
444,1,1,1,1,1,0,1,1,1,1,1,0
445,1,1,0,0,0,0,0,0,0,0,0,0
460,1,1,0,1,1,1,1,0,0,0,1,1
464,1,1,1,1,1,1,0,1,0,1,1,1
